-0 all_void
-0.1.1.0.1 attribute
0.1.1.0.1.0 state
-0.1.1.0.1.0.0 feeling
-0.1.1.0.1.0.0.1 emotion
0.1.1.0.1.0.0.1.1 fear
0.1.1.0.1.0.0.1.1.3 horror
-0.1.1.0.1.0.0.1.1.8 apprehension
-0.1.1.0.1.0.0.1.1.8.1 foreboding
0.1.1.0.1.0.0.1.1.8.1.0 shadow
-0.1.1.0.1.0.0.1.3 anxiety
0.1.1.0.1.0.0.1.3.0 worry
-0.1.1.0.1.0.0.1.4 joy
-0.1.1.0.1.0.0.1.4.1 exultation
0.1.1.0.1.0.0.1.4.1.0 triumph
-0.1.1.0.1.0.0.1.7 emotional_state
0.1.1.0.1.0.0.1.7.3 happiness
-0.1.1.0.1.0.0.11 desire
0.1.1.0.1.0.0.11.0 ambition
-0.1.1.0.1.0.0.34 sadness
-0.1.1.0.1.0.0.34.9 depression
-0.1.1.0.1.0.0.34.9.3 oppression
0.1.1.0.1.0.0.34.9.3.0 weight
0.1.1.0.1.0.0.38 temper
-0.1.1.0.1.0.2 cognitive_state
0.1.1.0.1.0.2.11 doubt
-0.1.1.0.1.0.6 condition
0.1.1.0.1.0.6.5 fortune
-0.1.1.0.1.0.7 condition
0.1.1.0.1.0.7.9 silence
0.1.1.0.1.0.7.10 situation
-0.1.1.0.1.0.7.35 difficulty
0.1.1.0.1.0.7.35.11 wall
-0.1.1.0.1.0.7.42 need
-0.1.1.0.1.0.7.42.1 necessity
-0.1.1.0.1.0.7.42.1.1 urgency
0.1.1.0.1.0.7.42.1.1.0 hurry
-0.1.1.0.1.0.7.52 financial_condition
-0.1.1.0.1.0.7.52.5 wealth
0.1.1.0.1.0.7.52.5.0 circumstances
-0.1.1.0.1.0.21 status
-0.1.1.0.1.0.21.15 rank
0.1.1.0.1.0.21.15.9 first
-0.1.1.0.1.0.21.15.10 second
0.1.1.0.1.0.21.15.10.0 latter
-0.1.1.0.1.0.22 being
-0.1.1.0.1.0.22.10 possibility
0.1.1.0.1.0.22.10.3 opportunity
0.1.1.0.1.0.22.10.3.1 day
0.1.1.0.1.0.22.10.3.7 room
-0.1.1.0.1.0.42 readiness
0.1.1.0.1.0.42.0 ready
-0.1.1.0.1.1 shape
-0.1.1.0.1.1.9 amorphous_shape
-0.1.1.0.1.1.9.2 space
0.1.1.0.1.1.9.2.2 pocket
-0.1.1.0.1.2 time
-0.1.1.0.1.2.5 present
0.1.1.0.1.2.5.0 now
0.1.1.0.1.2.5.4 today
0.1.1.0.1.2.5.5 tonight
-0.1.1.0.1.2.8 musical_time
0.1.1.0.1.2.8.5 rhythm
-0.1.1.0.1.5 trait
-0.1.1.0.1.5.4 unemotionality
-0.1.1.0.1.5.4.1 coldness
0.1.1.0.1.5.4.1.0 stone
-0.1.1.0.1.5.10 uncommunicativeness
-0.1.1.0.1.5.10.1 secrecy
0.1.1.0.1.5.10.1.0 mum
-0.1.1.0.1.15 quality
-0.1.1.0.1.15.2 air
0.1.1.0.1.15.2.1 note
-0.1.1.0.1.15.56 elegance
0.1.1.0.1.15.56.8 class
-0.1.1.0.1.15.65 morality
0.1.1.0.1.15.65.2 good
-0.1.1.0.1.15.87 good
0.1.1.0.1.15.87.1 better
-0.1.1.0.1.16 property
0.1.1.0.1.16.7 age
-0.1.1.0.1.16.13 visual_property
-0.1.1.0.1.16.13.1 light
-0.1.1.0.1.16.13.1.3 brightness
0.1.1.0.1.16.13.1.3.4 glint
-0.1.1.0.1.16.13.4 color
-0.1.1.0.1.16.13.4.4 achromatic_color
0.1.1.0.1.16.13.4.4.0 black
0.1.1.0.1.16.13.4.4.2 gray
-0.1.1.0.1.16.13.4.6 complexion
0.1.1.0.1.16.13.4.6.5 darkness
-0.1.1.0.1.16.15 sound_property
-0.1.1.0.1.16.15.3 pitch
0.1.1.0.1.16.15.3.8 bass
-0.1.1.0.1.16.15.10 silence
0.1.1.0.1.16.15.10.0 hush
-0.1.1.0.1.16.24 strength
0.1.1.0.1.16.24.2 might
-0.1.1.0.1.16.24.10 endurance
-0.1.1.0.1.16.24.10.1 stamina
0.1.1.0.1.16.24.10.1.0 legs
-0.1.1.0.1.16.27 temporal_property
-0.1.1.0.1.16.27.0 temporal_arrangement
-0.1.1.0.1.16.27.0.1 timing
-0.1.1.0.1.16.27.0.1.1 earliness
0.1.1.0.1.16.27.0.1.1.1 priority
-0.1.1.0.1.16.30 magnitude
0.1.1.0.1.16.30.12 intensity
0.1.1.0.1.16.30.13 amount
0.1.1.0.1.16.30.13.9 number
-0.1.1.0.1.16.31 degree
-0.1.1.0.1.16.31.11 intensity
0.1.1.0.1.16.31.11.2 top
-0.1.1.0.2 group
-0.1.1.0.2.3 biological_group
-0.1.1.0.2.3.2 taxonomic_group
0.1.1.0.2.3.2.10 family
-0.1.1.0.2.3.3 animal_group
0.1.1.0.2.3.3.13 team
0.1.1.0.2.5 people
0.1.1.0.2.5.10 dead
0.1.1.0.2.5.16 enemy
-0.1.1.0.2.6 social_group
-0.1.1.0.2.6.6 gathering
0.1.1.0.2.6.6.13 crowd
-0.1.1.0.2.6.6.23 meeting
0.1.1.0.2.6.6.23.4 conference
0.1.1.0.2.6.6.38 body
0.1.1.0.2.6.6.38.12 staff
-0.1.1.0.2.6.8 organization
-0.1.1.0.2.6.8.18 unit
-0.1.1.0.2.6.8.18.10 political_unit
-0.1.1.0.2.6.8.18.10.4 state
0.1.1.0.2.6.8.18.10.4.6 ally
-0.1.1.0.2.6.8.20 force
0.1.1.0.2.6.8.20.0 police
-0.1.1.0.2.7 collection
0.1.1.0.2.7.5 book
0.1.1.0.2.7.8 bunch
0.1.1.0.2.7.29 pile
0.1.1.0.2.7.36 library
-0.1.1.0.2.7.45 class
-0.1.1.0.2.7.45.12 grammatical_category
0.1.1.0.2.7.45.12.3 person
0.1.1.0.2.7.47 package
-0.1.1.0.2.7.69 assortment
0.1.1.0.2.7.69.3 selection
-0.1.1.0.2.7.77 vegetation
0.1.1.0.2.7.77.6 garden
-0.1.1.0.2.7.91 string
0.1.1.0.2.7.91.0 beads
0.1.1.0.2.7.92 wardrobe
-0.1.1.0.3 relation
-0.1.1.0.3.0 possession
-0.1.1.0.3.0.0 property
-0.1.1.0.3.0.0.5 personal_property
0.1.1.0.3.0.0.5.1 effects
0.1.1.0.3.0.0.6 things
-0.1.1.0.3.14 part
-0.1.1.0.3.14.7 language_unit
-0.1.1.0.3.14.7.2 syllable
-0.1.1.0.3.14.7.2.4 solfa_syllable
0.1.1.0.3.14.7.2.4.0 do
-0.1.1.0.4 communication
-0.1.1.0.4.3 language
0.1.1.0.4.3.1 words
-0.1.1.0.4.4 written_communication
-0.1.1.0.4.4.2 writing
-0.1.1.0.4.4.2.1 literary_composition
-0.1.1.0.4.4.2.1.3 fiction
0.1.1.0.4.4.2.1.3.3 story
-0.1.1.0.4.4.2.4 matter
-0.1.1.0.4.4.2.4.1 text
0.1.1.0.4.4.2.4.1.4 letter
0.1.1.0.4.4.2.8 diary
-0.1.1.0.4.4.2.19 document
-0.1.1.0.4.4.2.19.6 commercial_document
0.1.1.0.4.4.2.19.6.0 statement
0.1.1.0.4.4.2.19.14 platform
-0.1.1.0.4.4.2.19.17 source
0.1.1.0.4.4.2.19.17.1 well
-0.1.1.0.4.5 message
-0.1.1.0.4.5.1 subject
-0.1.1.0.4.5.1.2 question
-0.1.1.0.4.5.1.2.0 problem
0.1.1.0.4.5.1.2.0.3 riddle
0.1.1.0.4.5.4 nonsense
-0.1.1.0.4.5.10 commitment
-0.1.1.0.4.5.10.2 assurance
0.1.1.0.4.5.10.2.1 vow
-0.1.1.0.4.5.16 statement
-0.1.1.0.4.5.16.4 declaration
-0.1.1.0.4.5.16.4.4 assertion
-0.1.1.0.4.5.16.4.4.5 avowal
-0.1.1.0.4.5.16.4.4.5.2 affirmative
0.1.1.0.4.5.16.4.4.5.2.1 yea
-0.1.1.0.4.7 signal
-0.1.1.0.4.7.14 telegraphic_signal
0.1.1.0.4.7.14.0 dot
-0.1.1.0.4.9 indication
-0.1.1.0.4.9.4 mark
0.1.1.0.4.9.4.6 trace
-0.1.1.0.4.9.10 evidence
-0.1.1.0.4.9.10.1 record
-0.1.1.0.4.9.10.1.1 written_record
-0.1.1.0.4.9.10.1.1.8 note
0.1.1.0.4.9.10.1.1.8.3 minute
-0.1.1.0.4.9.10.5 identification
-0.1.1.0.4.9.10.5.0 positive_identification
0.1.1.0.4.9.10.5.0.4 password
-0.1.1.0.4.10 visual_communication
-0.1.1.0.4.10.0 gesture
-0.1.1.0.4.10.0.2 facial_expression
0.1.1.0.4.10.0.2.3 smile
0.1.1.0.4.10.0.2.3.0 smirk
-0.1.1.0.4.14 auditory_communication
0.1.1.0.4.14.0 speech
0.1.1.0.4.14.0.8 spell
0.1.1.0.4.14.0.8.1 hex
-0.1.1.0.4.14.1 utterance
0.1.1.0.4.14.1.15 speaking
-0.1.1.0.5 measure
-0.1.1.0.5.3 fundamental_quantity
-0.1.1.0.5.3.0 time_period
0.1.1.0.5.3.0.2 hours
0.1.1.0.5.3.0.10 times
-0.1.1.0.5.3.0.19 life
0.1.1.0.5.3.0.19.0 days
-0.1.1.0.5.3.0.28 calendar_day
-0.1.1.0.5.3.0.28.0 day
-0.1.1.0.5.3.0.28.0.46 anniversary
0.1.1.0.5.3.0.28.0.46.0 birthday
0.1.1.0.5.3.0.39 fortnight
0.1.1.0.5.3.0.42 year
-0.1.1.0.5.4 definite_quantity
-0.1.1.0.5.4.3 number
-0.1.1.0.5.4.3.28 complex_number
-0.1.1.0.5.4.3.28.1 real_number
-0.1.1.0.5.4.3.28.1.1 irrational_number
-0.1.1.0.5.4.3.28.1.1.0 transcendental_number
0.1.1.0.5.4.3.28.1.1.0.1 e
-0.1.1.0.5.4.8 unit_of_measurement
-0.1.1.0.5.4.8.7 area_unit
0.1.1.0.5.4.8.7.14 em
-0.1.1.0.5.4.8.25 weight_unit
0.1.1.0.5.4.8.25.5 frail
-0.1.1.0.5.5 indefinite_quantity
-0.1.1.0.5.5.6 containerful
0.1.1.0.5.5.6.7 bin
0.1.1.0.5.5.6.8 bottle
0.1.1.0.5.5.6.29 jar
0.1.1.0.5.5.6.53 teacup
-0.1.1.0.5.5.9 large_indefinite_quantity
0.1.1.0.5.5.9.15 tons
-0.1.1.0.5.5.17 small_indefinite_quantity
0.1.1.0.5.5.17.11 little
-0.1.1.0.5.17 playing_period
0.1.1.0.5.17.4 half
-0.2 whole
-0.2.0 natural_object
-0.2.0.9 covering
-0.2.0.9.17 body_covering
-0.2.0.9.17.1 hair
0.2.0.9.17.1.7 mustache
-0.2.0.11 mechanism
-0.2.0.11.2 barrier
0.2.0.11.2.1 curtain
-0.2.0.18 plant_part
-0.2.0.18.0 plant_organ
-0.2.0.18.0.5 stalk
-0.2.0.18.0.5.8 branch
-0.2.0.18.0.5.8.2 branchlet
0.2.0.18.0.5.8.2.0 wand
-0.2.1 artifact
-0.2.1.7 commodity
-0.2.1.7.8 merchandise
0.2.1.7.8.8 cargo
-0.2.1.9 covering
0.2.1.9.30 cloak
-0.2.1.9.32 clothing
-0.2.1.9.32.5 headdress
-0.2.1.9.32.5.2 jewelled_headdress
0.2.1.9.32.5.2.0 tiara
0.2.1.9.32.5.6 turban
-0.2.1.9.32.22 woman's_clothing
0.2.1.9.32.22.1 dress
-0.2.1.10 creation
0.2.1.10.2 master
-0.2.1.10.6 representation
-0.2.1.10.6.20 picture
-0.2.1.10.6.20.9 likeness
0.2.1.10.6.20.9.0 portrait
-0.2.1.10.8 art
-0.2.1.10.8.11 plastic_art
-0.2.1.10.8.11.0 sculpture
-0.2.1.10.8.11.0.1 statue
0.2.1.10.8.11.0.1.6 sphinx
-0.2.1.12 decoration
-0.2.1.12.0 design
-0.2.1.12.0.1 emblem
-0.2.1.12.0.1.0 flag
0.2.1.12.0.1.0.9 banner
0.2.1.12.0.1.0.12 colors
-0.2.1.12.0.15 marking
-0.2.1.12.0.15.4 spot
0.2.1.12.0.15.4.1 plaque
0.2.1.12.21 sprig
-0.2.1.18 facility
-0.2.1.18.20 depository
0.2.1.18.20.3 museum
-0.2.1.22 instrumentality
-0.2.1.22.7 container
-0.2.1.22.7.7 glass
0.2.1.22.7.7.0 goblet
-0.2.1.22.7.35 box
0.2.1.22.7.35.3 chest
-0.2.1.22.7.42 case
0.2.1.22.7.42.7 locket
-0.2.1.22.8 conveyance
-0.2.1.22.8.13 vehicle
-0.2.1.22.8.13.0 wheeled_vehicle
0.2.1.22.8.13.0.3 car
-0.2.1.22.8.13.2 craft
-0.2.1.22.8.13.2.3 vessel
0.2.1.22.8.13.2.3.3 boat
-0.2.1.22.8.13.2.3.11 sailing_vessel
0.2.1.22.8.13.2.3.11.14 galleon
-0.2.1.22.9 device
-0.2.1.22.9.23 instrument
-0.2.1.22.9.23.11 weapon
0.2.1.22.9.23.11.15 sword
0.2.1.22.9.23.11.15.7 rapier
-0.2.1.22.9.38 musical_instrument
-0.2.1.22.9.38.1 percussion_instrument
0.2.1.22.9.38.1.4 bones
-0.2.1.22.10 equipment
-0.2.1.22.10.1 game_equipment
0.2.1.22.10.1.3 man
-0.2.1.22.10.14 sports_equipment
-0.2.1.22.10.14.4 baseball_equipment
0.2.1.22.10.14.4.2 mound
-0.2.1.22.11 furnishing
-0.2.1.22.11.0 furniture
0.2.1.22.11.0.15 bed
-0.2.1.22.13 implement
-0.2.1.22.13.25 cleaning_implement
0.2.1.22.13.25.4 broom
-0.2.1.24 line
0.2.1.24.3 rope
-0.2.1.29 plaything
0.2.1.29.9 teddy
-0.2.1.37 structure
-0.2.1.37.1 supporting_structure
-0.2.1.37.1.0 framework
-0.2.1.37.1.0.8 mounting
0.2.1.37.1.0.8.3 mount
-0.2.1.37.15 area
-0.2.1.37.15.20 room
-0.2.1.37.15.20.30 bedroom
0.2.1.37.15.20.30.2 dormitory
0.2.1.37.15.20.64 hall
-0.3 living_thing
-0.3.0 organism
-0.3.0.2 person
-0.3.0.2.1 adult
-0.3.0.2.1.7 elder
0.3.0.2.1.7.0 dean
-0.3.0.2.1.20 professional
-0.3.0.2.1.20.5 educator
-0.3.0.2.1.20.5.1 principal
0.3.0.2.1.20.5.1.1 headmaster
-0.3.0.2.1.20.5.23 academician
0.3.0.2.1.20.5.23.0 professor
-0.3.0.2.6 capitalist
-0.3.0.2.6.0 businessperson
-0.3.0.2.6.0.9 businessman
0.3.0.2.6.0.9.3 owner
-0.3.0.2.6.0.10 businesswoman
0.3.0.2.6.0.10.0 madam
-0.3.0.2.6.3 investor
0.3.0.2.6.3.4 bear
-0.3.0.2.12 contestant
-0.3.0.2.12.11 rival
0.3.0.2.12.11.5 champion
-0.3.0.2.14 creator
-0.3.0.2.14.1 artist
0.3.0.2.14.1.12 photographer
-0.3.0.2.14.12 originator
0.3.0.2.14.12.3 founder
-0.3.0.2.21 female
0.3.0.2.21.2 woman
0.3.0.2.21.2.24 girl
0.3.0.2.21.2.34 lady
0.3.0.2.21.2.52 wife
-0.3.0.2.26 intellectual
-0.3.0.2.26.18 visionary
-0.3.0.2.26.18.1 diviner
0.3.0.2.26.18.1.6 prophet
-0.3.0.2.27 juvenile
0.3.0.2.27.2 child
-0.3.0.2.29 leader
-0.3.0.2.29.0 aristocrat
0.3.0.2.29.0.5 prince
0.3.0.2.29.11 father
-0.3.0.2.29.17 head
0.3.0.2.29.17.6 don
-0.3.0.2.30 male
-0.3.0.2.30.0 chap
0.3.0.2.30.0.0 dog
-0.3.0.2.30.4 man
0.3.0.2.30.4.12 sir
-0.3.0.2.30.4.22 Black_man
0.3.0.2.30.4.22.1 boy
-0.3.0.2.44 unwelcome_person
0.3.0.2.44.2 meddler
-0.3.0.2.46 worker
0.3.0.2.46.33 servant
-0.3.0.2.46.39 skilled_worker
-0.3.0.2.46.39.20 craftsman
0.3.0.2.46.39.20.12 potter
-0.3.0.2.46.39.46 official
0.3.0.2.46.39.46.40 judge
0.3.0.2.46.39.46.40.12 doge
-0.3.0.2.73 acquirer
-0.3.0.2.73.2 recipient
0.3.0.2.73.2.9 heir
-0.3.0.2.99 bad_person
0.3.0.2.99.8 snake
-0.3.0.2.99.12 wrongdoer
0.3.0.2.99.12.1 attacker
-0.3.0.2.99.12.4 criminal
-0.3.0.2.99.12.4.9 murderer
0.3.0.2.99.12.4.9.2 ripper
0.3.0.2.139 creature
-0.3.0.2.168 enrollee
0.3.0.2.168.0 student
0.3.0.2.179 friend
-0.3.0.2.211 relative
-0.3.0.2.211.8 offspring
-0.3.0.2.211.8.3 child
-0.3.0.2.211.8.3.0 female_offspring
0.3.0.2.211.8.3.0.0 daughter
-0.3.0.2.211.8.3.1 male_offspring
0.3.0.2.211.8.3.1.0 son
-0.3.0.2.211.12 ancestor
-0.3.0.2.211.12.4 progenitor
-0.3.0.2.211.12.4.0 genitor
-0.3.0.2.211.12.4.0.0 parent
-0.3.0.2.211.12.4.0.0.3 father
0.3.0.2.211.12.4.0.0.3.3 dad
0.3.0.2.252 neighbor
0.3.0.2.273 partner
-0.3.0.2.328 small_person
0.3.0.2.328.6 pygmy
-0.3.0.3 animal
-0.3.0.3.33 chordate
-0.3.0.3.33.2 vertebrate
-0.3.0.3.33.2.2 aquatic_vertebrate
-0.3.0.3.33.2.2.2 fish
-0.3.0.3.33.2.2.2.11 cartilaginous_fish
-0.3.0.3.33.2.2.2.11.0 holocephalan
0.3.0.3.33.2.2.2.11.0.0 chimaera
-0.3.0.3.33.2.4 bird
-0.3.0.3.33.2.4.15 bird_of_prey
0.3.0.3.33.2.4.15.5 owl
-0.3.0.3.33.2.4.24 aquatic_bird
-0.3.0.3.33.2.4.24.2 wading_bird
-0.3.0.3.33.2.4.24.2.17 shorebird
-0.3.0.3.33.2.4.24.2.17.4 snipe
-0.3.0.3.33.2.4.24.2.17.4.4 dowitcher
0.3.0.3.33.2.4.24.2.17.4.4.0 greyback
-0.3.0.3.33.2.7 mammal
-0.3.0.3.33.2.7.3 placental
-0.3.0.3.33.2.7.3.8 carnivore
-0.3.0.3.33.2.7.3.8.2 feline
-0.3.0.3.33.2.7.3.8.2.0 cat
-0.3.0.3.33.2.7.3.8.2.0.0 domestic_cat
0.3.0.3.33.2.7.3.8.2.0.0.3 tom
-0.3.0.3.34 invertebrate
-0.3.0.3.34.7 mollusk
-0.3.0.3.34.7.1 gastropod
0.3.0.3.34.7.1.3 slug
-0.3.0.4 plant
-0.3.0.4.26 vascular_plant
-0.3.0.4.26.7 woody_plant
-0.3.0.4.26.7.2 tree
-0.3.0.4.26.7.2.7 angiospermous_tree
0.3.0.4.26.7.2.7.25 myrtle
-0.3.0.4.26.7.3 shrub
0.3.0.4.26.7.3.272 lavender
-0.3.0.4.26.13 bulbous_plant
-0.3.0.4.26.13.4 liliaceous_plant
0.3.0.4.26.13.4.0 lily
-0.3.0.4.26.19 herb
-0.3.0.4.26.19.352 gramineous_plant
0.3.0.4.26.19.352.0 grass
-0.4 location
-0.4.11 region
-0.4.11.17 geographical_area
-0.4.11.17.11 tract
0.4.11.17.11.4 lot
-0.13 part
-0.13.11 appendage
-0.13.11.2 handle
0.13.11.2.11 broomstick
-0.13.15 component
-0.13.15.13 addition
-0.13.15.13.2 annex
0.13.15.13.2.0 ell
