-0 all_void
-0.1.0.2.54.2.10 produce
-0.1.0.2.54.2.10.0 edible_fruit
-0.1.0.2.54.2.10.0.9 citrus
0.1.0.2.54.2.10.0.9.3 lemon
0.1.0.2.54.2.10.0.61 pear
-0.1.0.2.54.2.10.1 vegetable
-0.1.0.2.54.2.10.1.2 legume
0.1.0.2.54.2.10.1.2.0 pulse
-0.1.0.2.54.2.10.1.4 greens
0.1.0.2.54.2.10.1.4.1 sprout
0.1.0.2.54.6 crystal
-0.1.0.3 process
-0.1.0.3.0 phenomenon
-0.1.0.3.0.0 natural_phenomenon
-0.1.0.3.0.0.2 organic_phenomenon
0.1.0.3.0.0.2.6 death
-0.1.0.3.0.0.3 physical_phenomenon
-0.1.0.3.0.0.3.1 atmospheric_phenomenon
-0.1.0.3.0.0.3.1.12 weather
0.1.0.3.0.0.3.1.12.1 wind
0.1.0.3.0.0.3.1.12.1.2 breeze
0.1.0.3.0.0.3.1.12.1.19 gust
-0.1.0.3.0.0.3.1.12.3 good_weather
-0.1.0.3.0.0.3.1.12.3.0 calmness
0.1.0.3.0.0.3.1.12.3.0.0 stillness
-0.1.0.3.0.0.3.1.12.9 precipitation
-0.1.0.3.0.0.3.1.12.9.0 rain
0.1.0.3.0.0.3.1.12.9.0.2 shower
0.1.0.3.0.0.3.1.12.9.1 sleet
0.1.0.3.0.0.3.1.12.9.2 snow
-0.1.0.3.0.0.3.8 energy
0.1.0.3.0.0.3.8.2 work
0.1.0.3.0.0.3.8.3 heat
-0.1.0.3.0.0.3.8.6 radiation
-0.1.0.3.0.0.3.8.6.3 electromagnetic_radiation
-0.1.0.3.0.0.3.8.6.3.6 actinic_radiation
0.1.0.3.0.0.3.8.6.3.6.1 light
0.1.0.3.0.0.3.8.6.3.6.1.9 beam
0.1.0.3.0.0.3.8.6.3.6.1.22 lamplight
0.1.0.3.0.0.3.12 force
0.1.0.3.0.0.3.12.1 moment
0.1.0.3.0.0.3.22 resolution
-0.1.0.3.0.3 consequence
-0.1.0.3.0.3.13 influence
-0.1.0.3.0.3.13.0 perturbation
0.1.0.3.0.3.13.0.0 variation
0.1.0.3.0.4 luck
-0.1.0.3.3 decrease
-0.1.0.3.3.5 decline
0.1.0.3.3.5.4 loss
-0.1.0.3.15 natural_process
0.1.0.3.15.31 capture
-0.1.0.3.17 organic_process
-0.1.0.3.17.43 bodily_process
0.1.0.3.17.43.17 breathing
-0.1.0.3.17.43.19 breath
-0.1.0.3.17.43.19.0 exhalation
0.1.0.3.17.43.19.0.0 blow
-0.1.0.3.17.43.20 consumption
-0.1.0.3.17.43.20.1 swallow
0.1.0.3.17.43.20.1.1 gulp
-0.1.0.3.17.43.21 sexual_activity
0.1.0.3.17.43.21.2 pleasure
-0.1.0.3.19 processing
-0.1.0.3.19.3 data_processing
-0.1.0.3.19.3.3 operation
0.1.0.3.19.3.3.4 sort
-0.1.1 abstract_entity
-0.1.1.0 abstraction
-0.1.1.0.0 psychological_feature
-0.1.1.0.0.0 cognition
0.1.1.0.0.0.0 mind
0.1.1.0.0.0.1 place
-0.1.1.0.0.0.4 ability
-0.1.1.0.0.0.4.3 aptitude
-0.1.1.0.0.0.4.3.1 capability
-0.1.1.0.0.0.4.3.1.1 compass
0.1.1.0.0.0.4.3.1.1.0 sight
-0.1.1.0.0.0.4.3.2 natural_ability
-0.1.1.0.0.0.4.3.2.0 endowment
0.1.1.0.0.0.4.3.2.0.0 bent
-0.1.1.0.0.0.4.6 creativity
-0.1.1.0.0.0.4.6.3 imagination
-0.1.1.0.0.0.4.6.3.4 imaginary_being
-0.1.1.0.0.0.4.6.3.4.1 mythical_being
0.1.1.0.0.0.4.6.3.4.1.21 phoenix
-0.1.1.0.0.0.4.6.3.4.13 monster
-0.1.1.0.0.0.4.6.3.4.13.0 mythical_monster
0.1.1.0.0.0.4.6.3.4.13.0.6 dragon
0.1.1.0.0.0.4.6.3.4.13.0.20 troll
0.1.1.0.0.0.4.6.3.4.14 witch
-0.1.1.0.0.0.4.12 faculty
0.1.1.0.0.0.4.12.3 reason
-0.1.1.0.0.0.9 cognitive_factor
-0.1.1.0.0.0.9.1 difficulty
-0.1.1.0.0.0.9.1.0 trouble
0.1.1.0.0.0.9.1.0.4 matter
-0.1.1.0.0.0.10 equivalent
-0.1.1.0.0.0.10.0 counterpart
0.1.1.0.0.0.10.0.0 match
0.1.1.0.0.0.10.1 substitute
0.1.1.0.0.0.10.1.1 successor
-0.1.1.0.0.0.11 process
-0.1.1.0.0.0.11.0 basic_cognitive_process
-0.1.1.0.0.0.11.0.2 intuition
0.1.1.0.0.0.11.0.2.0 feeling
-0.1.1.0.0.0.11.0.3 perception
-0.1.1.0.0.0.11.0.3.4 sensation
-0.1.1.0.0.0.11.0.3.4.5 sound
0.1.1.0.0.0.11.0.3.4.5.3 noise
-0.1.1.0.0.0.11.0.3.5 somesthesia
0.1.1.0.0.0.11.0.3.5.3 pain
-0.1.1.0.0.0.11.0.6 classification
-0.1.1.0.0.0.11.0.6.0 appraisal
-0.1.1.0.0.0.11.0.6.0.0 critical_appraisal
-0.1.1.0.0.0.11.0.6.0.0.0 criticism
0.1.1.0.0.0.11.0.6.0.0.0.1 knock
-0.1.1.0.0.0.11.0.6.0.1 evaluation
0.1.1.0.0.0.11.0.6.0.1.4 mark
-0.1.1.0.0.0.11.0.8 learning
-0.1.1.0.0.0.11.0.8.3 education
0.1.1.0.0.0.11.0.8.3.3 school
-0.1.1.0.0.0.11.0.10 representational_process
-0.1.1.0.0.0.11.0.10.0 symbol
-0.1.1.0.0.0.11.0.10.0.5 emblem
0.1.1.0.0.0.11.0.10.0.5.10 badge
-0.1.1.0.0.0.11.0.10.2 depicting
0.1.1.0.0.0.11.0.10.2.0 mirror
-0.1.1.0.0.0.11.1 higher_cognitive_process
-0.1.1.0.0.0.11.1.0 thinking
-0.1.1.0.0.0.11.1.0.2 reasoning
0.1.1.0.0.0.11.1.0.2.0 analysis
-0.1.1.0.0.0.11.1.0.2.5 prediction
-0.1.1.0.0.0.11.1.0.2.5.1 prophecy
0.1.1.0.0.0.11.1.0.2.5.1.1 divination
-0.1.1.0.0.0.11.1.2 decision_making
-0.1.1.0.0.0.11.1.2.5 choice
0.1.1.0.0.0.11.1.2.5.2 way
-0.1.1.0.0.0.11.1.2.7 option
-0.1.1.0.0.0.11.1.2.7.1 preference
0.1.1.0.0.0.11.1.2.7.1.0 wish
-0.1.1.0.0.0.11.1.3 knowing
0.1.1.0.0.0.11.1.3.4 awareness
-0.1.1.0.0.0.14 structure
0.1.1.0.0.0.14.0 arrangement
-0.1.1.0.0.0.15 content
0.1.1.0.0.0.15.7 idea
-0.1.1.0.0.0.15.7.2 concept
-0.1.1.0.0.0.15.7.2.2 category
0.1.1.0.0.0.15.7.2.2.0 kind
-0.1.1.0.0.0.15.7.2.2.0.5 flavor
0.1.1.0.0.0.15.7.2.2.0.5.0 charm
0.1.1.0.0.0.15.7.2.2.0.6 color
-0.1.1.0.0.0.15.7.2.5 abstraction
0.1.1.0.0.0.15.7.2.5.1 teacher
-0.1.1.0.0.0.15.7.2.5.3 right
-0.1.1.0.0.0.15.7.2.5.3.5 entree
0.1.1.0.0.0.15.7.2.5.3.5.0 door
-0.1.1.0.0.0.15.7.2.5.3.9 legal_right
0.1.1.0.0.0.15.7.2.5.3.9.13 use
-0.1.1.0.0.0.15.7.2.7 part
-0.1.1.0.0.0.15.7.2.7.4 component
0.1.1.0.0.0.15.7.2.7.4.2 point
-0.1.1.0.0.0.15.7.2.8 whole
-0.1.1.0.0.0.15.7.2.8.0 unit
0.1.1.0.0.0.15.7.2.8.0.0 one
0.1.1.0.0.0.15.7.2.13 fact
0.1.1.0.0.0.15.7.5 plan
-0.1.1.0.0.0.15.7.5.2 plan_of_action
-0.1.1.0.0.0.15.7.5.2.3 scheme
0.1.1.0.0.0.15.7.5.2.3.6 plot
-0.1.1.0.0.0.15.7.5.2.5 play
-0.1.1.0.0.0.15.7.5.2.5.1 football_play
-0.1.1.0.0.0.15.7.5.2.5.1.0 run
0.1.1.0.0.0.15.7.5.2.5.1.0.3 reverse
-0.1.1.0.0.0.15.7.9 impression
0.1.1.0.0.0.15.7.9.0 presence
-0.1.1.0.0.0.15.8 kernel
0.1.1.0.0.0.15.8.4 stuff
-0.1.1.0.0.0.15.10 representation
-0.1.1.0.0.0.15.10.8 percept
0.1.1.0.0.0.15.10.8.0 figure
-0.1.1.0.0.0.15.10.11 appearance
-0.1.1.0.0.0.15.10.11.0 illusion
0.1.1.0.0.0.15.10.11.0.2 apparition
-0.1.1.0.0.0.15.10.14 concretism
0.1.1.0.0.0.15.10.14.0 shape
-0.1.1.0.0.0.15.11 belief
-0.1.1.0.0.0.15.11.8 opinion
